,id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
95,1598764655,Under,271,4467435424,1.515,3.5,Antonio Gibson (Receptions),New England Patriots,Houston Texans
96,1598771311,Over,266,4467413871,2.28,1.5,Derrick Henry (Receptions),Baltimore Ravens,Washington Commanders
97,1598771312,Under,267,4467413872,1.636,1.5,Derrick Henry (Receptions),Baltimore Ravens,Washington Commanders
98,1598804963,Over,276,4467365260,2.55,1.5,Josh Whyle (Receptions),Tennessee Titans,Indianapolis Colts
99,1598804964,Under,277,4467365261,1.518,1.5,Josh Whyle (Receptions),Tennessee Titans,Indianapolis Colts
100,1598811828,Over,266,4467413903,2.23,2.5,Noah Brown (Receptions),Baltimore Ravens,Washington Commanders
101,1598811829,Under,267,4467413904,1.671,2.5,Noah Brown (Receptions),Baltimore Ravens,Washington Commanders
102,1598811837,Over,266,4467413987,1.74,1.5,Luke McCaffrey (Receptions),Baltimore Ravens,Washington Commanders
103,1598811838,Under,267,4467413988,2.11,1.5,Luke McCaffrey (Receptions),Baltimore Ravens,Washington Commanders
104,1598811852,Over,268,4467416010,1.39,0.5,Emanuel Wilson (Receptions),Green Bay Packers,Arizona Cardinals
105,1598811853,Under,269,4467416011,2.98,0.5,Emanuel Wilson (Receptions),Green Bay Packers,Arizona Cardinals
106,1598811867,Over,270,4467418023,1.609,1.5,Xavier Hutchinson (Receptions),New England Patriots,Houston Texans
107,1598811868,Under,271,4467418024,2.33,1.5,Xavier Hutchinson (Receptions),New England Patriots,Houston Texans
108,1598811876,Over,270,4467254677,2.16,2.5,Joe Mixon (Receptions),New England Patriots,Houston Texans
109,1598811877,Under,271,4467254678,1.699,2.5,Joe Mixon (Receptions),New England Patriots,Houston Texans
110,1598812078,Over,274,4467338863,2.81,1.5,Jahan Dotson (Receptions),Philadelphia Eagles,Cleveland Browns
111,1598812079,Under,275,4467338864,1.432,1.5,Jahan Dotson (Receptions),Philadelphia Eagles,Cleveland Browns
112,1598812171,Over,276,4467415342,2.28,2.5,Trey Sermon (Receptions),Tennessee Titans,Indianapolis Colts
113,1598812172,Under,277,4467415343,1.641,2.5,Trey Sermon (Receptions),Tennessee Titans,Indianapolis Colts
114,1598812950,Over,266,4467413883,1.617,2.5,Austin Ekeler (Receptions),Baltimore Ravens,Washington Commanders
115,1598812951,Under,267,4467413884,2.32,2.5,Austin Ekeler (Receptions),Baltimore Ravens,Washington Commanders
116,1598831884,Over,268,4467415913,1.833,0.5,Ben Sims (Receptions),Green Bay Packers,Arizona Cardinals
117,1598831885,Under,269,4467415914,1.99,0.5,Ben Sims (Receptions),Green Bay Packers,Arizona Cardinals
118,1598836144,Over,272,4467380022,1.671,1.5,Jalen McMillan (Receptions),New Orleans Saints,Tampa Bay Buccaneers
119,1598836145,Under,273,4467380023,2.22,1.5,Jalen McMillan (Receptions),New Orleans Saints,Tampa Bay Buccaneers
120,1598836168,Over,276,4467415374,2.36,2.5,Tyler Goodson (Receptions),Tennessee Titans,Indianapolis Colts
121,1598836169,Under,277,4467415375,1.595,2.5,Tyler Goodson (Receptions),Tennessee Titans,Indianapolis Colts
122,1598836186,Over,276,4467434610,2.13,2.5,Alec Pierce (Receptions),Tennessee Titans,Indianapolis Colts
123,1598836187,Under,277,4467434611,1.729,2.5,Alec Pierce (Receptions),Tennessee Titans,Indianapolis Colts
124,1598836189,Over,276,4467421689,1.645,4.5,Josh Downs (Receptions),Tennessee Titans,Indianapolis Colts
125,1598836190,Under,277,4467421690,2.27,4.5,Josh Downs (Receptions),Tennessee Titans,Indianapolis Colts
126,1598836320,Under,277,4467415337,2.08,4.5,Michael Pittman Jr. (Receptions),Tennessee Titans,Indianapolis Colts
127,1598836319,Over,276,4467415336,1.763,4.5,Michael Pittman Jr. (Receptions),Tennessee Titans,Indianapolis Colts
128,1598837379,Over,270,4467376610,1.769,1.5,Kendrick Bourne (Receptions),New England Patriots,Houston Texans
129,1598837380,Under,271,4467376611,2.07,1.5,Kendrick Bourne (Receptions),New England Patriots,Houston Texans
130,1598837549,Over,268,4467402318,1.74,1.5,Christian Watson (Receptions),Green Bay Packers,Arizona Cardinals
131,1598837550,Under,269,4467402319,2.11,1.5,Christian Watson (Receptions),Green Bay Packers,Arizona Cardinals
132,1598837920,Over,268,4467415927,1.617,2.5,Dontayvion Wicks (Receptions),Green Bay Packers,Arizona Cardinals
133,1598837921,Under,269,4467415928,2.32,2.5,Dontayvion Wicks (Receptions),Green Bay Packers,Arizona Cardinals
134,1598678506,Over,280,4467717939,2.22,3.5,Pat Freiermuth (Receptions),Las Vegas Raiders,Pittsburgh Steelers
135,1598678507,Under,281,4467717940,1.671,3.5,Pat Freiermuth (Receptions),Las Vegas Raiders,Pittsburgh Steelers
136,1598678509,Over,280,4467733383,1.847,3.5,George Pickens (Receptions),Las Vegas Raiders,Pittsburgh Steelers
137,1598678510,Under,281,4467733384,1.97,3.5,George Pickens (Receptions),Las Vegas Raiders,Pittsburgh Steelers
138,1598711045,Over,278,4467634221,1.97,4.5,Ladd McConkey (Receptions),Denver Broncos,Los Angeles Chargers
139,1598711046,Under,279,4467634222,1.854,4.5,Ladd McConkey (Receptions),Denver Broncos,Los Angeles Chargers
140,1598711054,Over,278,4467704067,1.645,2.5,Joshua Palmer (Receptions),Denver Broncos,Los Angeles Chargers
141,1598711055,Under,279,4467704068,2.27,2.5,Joshua Palmer (Receptions),Denver Broncos,Los Angeles Chargers
142,1598711057,Over,278,4467634211,1.704,2.5,Quentin Johnston (Receptions),Denver Broncos,Los Angeles Chargers
143,1598711058,Under,279,4467634212,2.17,2.5,Quentin Johnston (Receptions),Denver Broncos,Los Angeles Chargers
144,1598711072,Over,278,4467704684,1.537,1.5,Hayden Hurst (Receptions),Denver Broncos,Los Angeles Chargers
