match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,agency
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Davis Mills,Houston Texans,Tennessee Titans,1.5,2.2,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Davis Mills,Houston Texans,Tennessee Titans,2.5,4.8,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Davis Mills,Houston Texans,Tennessee Titans,4.5,41,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Davis Mills,Houston Texans,Tennessee Titans,3.5,13,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Davis Mills,Houston Texans,Tennessee Titans,0.5,1.26,Neds
Las Vegas Raiders v Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,Passing Touchdowns,Dak Prescott,Dallas Cowboys,Las Vegas Raiders,3.5,5.6,Neds
Las Vegas Raiders v Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,Passing Touchdowns,Dak Prescott,Dallas Cowboys,Las Vegas Raiders,2.5,2.7,Neds
Las Vegas Raiders v Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,Passing Touchdowns,Dak Prescott,Dallas Cowboys,Las Vegas Raiders,1.5,1.58,Neds
Las Vegas Raiders v Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,Passing Touchdowns,Dak Prescott,Dallas Cowboys,Las Vegas Raiders,0.5,1.1,Neds
Las Vegas Raiders v Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,Passing Touchdowns,Dak Prescott,Dallas Cowboys,Las Vegas Raiders,4.5,13,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Justin Herbert,Los Angeles Chargers,Jacksonville Jaguars,4.5,16,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Justin Herbert,Los Angeles Chargers,Jacksonville Jaguars,2.5,2.95,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Justin Herbert,Los Angeles Chargers,Jacksonville Jaguars,1.5,1.65,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Justin Herbert,Los Angeles Chargers,Jacksonville Jaguars,3.5,6.25,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Justin Herbert,Los Angeles Chargers,Jacksonville Jaguars,0.5,1.12,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Lamar Jackson,Baltimore Ravens,Cleveland Browns,4.5,23,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Lamar Jackson,Baltimore Ravens,Cleveland Browns,3.5,8,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Lamar Jackson,Baltimore Ravens,Cleveland Browns,0.5,1.16,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Lamar Jackson,Baltimore Ravens,Cleveland Browns,1.5,1.83,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Lamar Jackson,Baltimore Ravens,Cleveland Browns,2.5,3.5,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Jacoby Brissett,Arizona Cardinals,San Francisco 49ers,4.5,23,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Jacoby Brissett,Arizona Cardinals,San Francisco 49ers,0.5,1.16,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Jacoby Brissett,Arizona Cardinals,San Francisco 49ers,2.5,3.5,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Jacoby Brissett,Arizona Cardinals,San Francisco 49ers,3.5,8,Neds
Arizona Cardinals v San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,Passing Touchdowns,Jacoby Brissett,Arizona Cardinals,San Francisco 49ers,1.5,1.83,Neds
Pittsburgh Steelers v Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Passing Touchdowns,Joe Flacco,Cincinnati Bengals,Pittsburgh Steelers,4.5,17,Neds
Pittsburgh Steelers v Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Passing Touchdowns,Joe Flacco,Cincinnati Bengals,Pittsburgh Steelers,0.5,1.12,Neds
Pittsburgh Steelers v Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Passing Touchdowns,Joe Flacco,Cincinnati Bengals,Pittsburgh Steelers,1.5,1.6800000000000002,Neds
Pittsburgh Steelers v Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Passing Touchdowns,Joe Flacco,Cincinnati Bengals,Pittsburgh Steelers,2.5,3,Neds
Pittsburgh Steelers v Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Passing Touchdowns,Joe Flacco,Cincinnati Bengals,Pittsburgh Steelers,3.5,6.5,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Trevor Lawrence,Jacksonville Jaguars,Los Angeles Chargers,4.5,67,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Trevor Lawrence,Jacksonville Jaguars,Los Angeles Chargers,1.5,2.6,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Trevor Lawrence,Jacksonville Jaguars,Los Angeles Chargers,3.5,19,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Trevor Lawrence,Jacksonville Jaguars,Los Angeles Chargers,2.5,6.5,Neds
Jacksonville Jaguars v Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,Passing Touchdowns,Trevor Lawrence,Jacksonville Jaguars,Los Angeles Chargers,0.5,1.3599999999999999,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Dillon Gabriel,Cleveland Browns,Baltimore Ravens,0.5,1.5,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Dillon Gabriel,Cleveland Browns,Baltimore Ravens,3.5,34,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Dillon Gabriel,Cleveland Browns,Baltimore Ravens,4.5,151,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Dillon Gabriel,Cleveland Browns,Baltimore Ravens,2.5,9.25,Neds
Cleveland Browns v Baltimore Ravens,Cleveland Browns,Baltimore Ravens,Passing Touchdowns,Dillon Gabriel,Cleveland Browns,Baltimore Ravens,1.5,3.25,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Cam Ward,Tennessee Titans,Houston Texans,4.5,226,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Cam Ward,Tennessee Titans,Houston Texans,0.5,1.58,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Cam Ward,Tennessee Titans,Houston Texans,1.5,3.7,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Cam Ward,Tennessee Titans,Houston Texans,2.5,11.5,Neds
Tennessee Titans v Houston Texans,Tennessee Titans,Houston Texans,Passing Touchdowns,Cam Ward,Tennessee Titans,Houston Texans,3.5,41,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Josh Allen,Buffalo Bills,Tampa Bay Buccaneers,0.5,1.19,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Josh Allen,Buffalo Bills,Tampa Bay Buccaneers,3.5,9.5,Neds
