match,home_team,away_team,market,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Rachaad White,Tampa Bay Buccaneers,14.5,1.4,2.9,BetRight,Detroit Lions,Player Receive Yards Over/Under 14.5 - Rachaad White (TB),51187661,Rachaad White Over 14.5,Rachaad White Under 14.5,1,2,282674991,282674990
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Rachaad White,Tampa Bay Buccaneers,19.5,1.66,2.15,BetRight,Detroit Lions,Player Receive Yards Over/Under 19.5 - Rachaad White (TB),51187662,Rachaad White Over 19.5,Rachaad White Under 19.5,1,2,282674992,282674993
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Rachaad White,Tampa Bay Buccaneers,24.5,2.05,1.75,BetRight,Detroit Lions,Player Receive Yards Over/Under 24.5 - Rachaad White (TB),51187663,Rachaad White Over 24.5,Rachaad White Under 24.5,1,2,282674994,282674995
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Rachaad White,Tampa Bay Buccaneers,29.5,2.63,1.45,BetRight,Detroit Lions,Player Receive Yards Over/Under 29.5 - Rachaad White (TB),51187664,Rachaad White Over 29.5,Rachaad White Under 29.5,1,2,282674996,282674997
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Mike Evans,Tampa Bay Buccaneers,44.5,1.36,3.1,BetRight,Detroit Lions,Player Receive Yards Over/Under 44.5 - Mike Evans (TB),51219269,Mike Evans Over 44.5,Mike Evans Under 44.5,1,2,282830971,282830970
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Mike Evans,Tampa Bay Buccaneers,49.5,1.46,2.63,BetRight,Detroit Lions,Player Receive Yards Over/Under 49.5 - Mike Evans (TB),51219270,Mike Evans Over 49.5,Mike Evans Under 49.5,1,2,282830972,282830973
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Mike Evans,Tampa Bay Buccaneers,59.5,1.7,2.1,BetRight,Detroit Lions,Player Receive Yards Over/Under 59.5 - Mike Evans (TB),51219271,Mike Evans Over 59.5,Mike Evans Under 59.5,1,2,282830974,282830975
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Mike Evans,Tampa Bay Buccaneers,69.5,2.05,1.73,BetRight,Detroit Lions,Player Receive Yards Over/Under 69.5 - Mike Evans (TB),51219272,Mike Evans Over 69.5,Mike Evans Under 69.5,1,2,282830977,282830976
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Mike Evans,Tampa Bay Buccaneers,79.5,2.5,1.5,BetRight,Detroit Lions,Player Receive Yards Over/Under 79.5 - Mike Evans (TB),51219273,Mike Evans Over 79.5,Mike Evans Under 79.5,1,2,282830978,282830979
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Cade Otton,Tampa Bay Buccaneers,29.5,1.53,2.4,BetRight,Detroit Lions,Player Receive Yards Over/Under 29.5 - Cade Otton (TB),51219274,Cade Otton Over 29.5,Cade Otton Under 29.5,1,2,282830980,282830981
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Cade Otton,Tampa Bay Buccaneers,34.5,1.73,2.05,BetRight,Detroit Lions,Player Receive Yards Over/Under 34.5 - Cade Otton (TB),51219275,Cade Otton Over 34.5,Cade Otton Under 34.5,1,2,282830983,282830982
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Cade Otton,Tampa Bay Buccaneers,39.5,1.98,1.8,BetRight,Detroit Lions,Player Receive Yards Over/Under 39.5 - Cade Otton (TB),51219276,Cade Otton Over 39.5,Cade Otton Under 39.5,1,2,282830985,282830984
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Cade Otton,Tampa Bay Buccaneers,44.5,2.3,1.6,BetRight,Detroit Lions,Player Receive Yards Over/Under 44.5 - Cade Otton (TB),51219277,Cade Otton Over 44.5,Cade Otton Under 44.5,1,2,282830986,282830987
Detroit Lions v Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Receiving Yards,Cade Otton,Tampa Bay Buccaneers,49.5,2.63,1.46,BetRight,Detroit Lions,Player Receive Yards Over/Under 49.5 - Cade Otton (TB),51219278,Cade Otton Over 49.5,Cade Otton Under 49.5,1,2,282830988,282830989
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Jaxon Smith-Njigba,Seattle Seahawks,69.5,1.42,2.8,BetRight,Houston Texans,Player Receive Yards Over/Under 69.5 - Jaxon Smith-Njigba (SEA),51041750,Jaxon Smith-Njigba Over 69.5,Jaxon Smith-Njigba Under 69.5,1,2,282044729,282044728
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Jaxon Smith-Njigba,Seattle Seahawks,79.5,1.62,2.2,BetRight,Houston Texans,Player Receive Yards Over/Under 79.5 - Jaxon Smith-Njigba (SEA),51041751,Jaxon Smith-Njigba Over 79.5,Jaxon Smith-Njigba Under 79.5,1,2,282044730,282044731
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Jaxon Smith-Njigba,Seattle Seahawks,89.5,1.92,1.85,BetRight,Houston Texans,Player Receive Yards Over/Under 89.5 - Jaxon Smith-Njigba (SEA),51041752,Jaxon Smith-Njigba Over 89.5,Jaxon Smith-Njigba Under 89.5,1,2,282044732,282044733
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Jaxon Smith-Njigba,Seattle Seahawks,99.5,2.3,1.6,BetRight,Houston Texans,Player Receive Yards Over/Under 99.5 - Jaxon Smith-Njigba (SEA),51041753,Jaxon Smith-Njigba Over 99.5,Jaxon Smith-Njigba Under 99.5,1,2,282044734,282044735
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Jaxon Smith-Njigba,Seattle Seahawks,124.5,3.9,1.24,BetRight,Houston Texans,Player Receive Yards Over/Under 124.5 - Jaxon Smith-Njigba (SEA),51041754,Jaxon Smith-Njigba Over 124.5,Jaxon Smith-Njigba Under 124.5,1,2,282044737,282044736
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Nico Collins,Houston Texans,49.5,1.26,3.6,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 49.5 - Nico Collins (HOU),51041755,Nico Collins Over 49.5,Nico Collins Under 49.5,1,2,282044739,282044738
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Nico Collins,Houston Texans,59.5,1.46,2.63,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 59.5 - Nico Collins (HOU),51041756,Nico Collins Over 59.5,Nico Collins Under 59.5,1,2,282044740,282044741
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Nico Collins,Houston Texans,69.5,1.7,2.1,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 69.5 - Nico Collins (HOU),51041757,Nico Collins Over 69.5,Nico Collins Under 69.5,1,2,282044742,282044743
